Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
2019-10-28,Detroit Pistons,Indiana Pacers,96 - 94,,2019-2020,07:00,96,94,0.3333333333333333,0.0,0.4468312424492733,0.22234153502205056,18.59739096958696,70.7162369978625,-52.11884602827553,9.99739096958696,61.24817057695207,-51.25077960736511,273.01146751578443,764.8267141197492,2.8014453791232414,240.09026021128378,132.71346675074483,0.5527648919783525,0.017333333333333294,0.013333333333333296,0.016933333333333255,0.013333333333333286,0.0424115605016525,0.031004160572844098
2019-10-28,Toronto Raptors,Orlando Magic,104 - 95,,2019-2020,07:30,104,95,0.6666666666666666,0.5,0.5366447547187667,0.5477980555336659,4.336515426497277,50.11925015568772,-45.782734729190445,30.797390969586957,62.98220378740727,-32.184812817820315,320.6557197165216,218.05704919201108,0.6800348030117356,287.1216884756855,296.2747217976684,1.031878585594059,0.02163199999999993,0.023733333333333148,0.026371128888888744,0.023973333333333274,0.03450711734558107,0.03209842932648495
2019-10-28,Atlanta Hawks,Philadelphia 76ers,103 - 105,,2019-2020,07:30,103,105,1.0,1.0,0.7486573244957349,0.763157352728581,35.19739096958696,67.84817057695207,-32.650779607365116,24.597390969586968,58.54712076126928,-33.94972979168231,305.6038386280453,142.074583364334,0.464897901813514,324.7396996862106,101.82050579599439,0.31354498970831557,0.0819333333333329,0.0898021333333327,0.08806724637681139,0.09136010295652107,0.03253975558120285,0.029406772070626537
2019-10-28,Houston Rockets,Oklahoma City Thunder,116 - 112,,2019-2020,08:00,116,112,0.5,0.3333333333333333,0.42995116741156475,0.3371983539781105,-6.855136116152453,45.801559687916274,-52.656695804068725,-6.562208656437319,38.91052247950757,-45.47273113594489,302.19718229715124,191.42872162993476,0.6334563418983252,315.70761366253737,314.64546441614664,0.996635655269543,0.016000000000000035,0.017333333333333364,0.014666666666666661,0.018099290780141834,0.02902620280427187,0.03339967615144343
2019-10-28,Milwaukee Bucks,Cleveland Cavaliers,129 - 112,,2019-2020,08:00,129,112,0.5,0.5,0.5170439009878047,0.4425348976389291,-3.6661519001264984,63.93958248488091,-67.60573438500741,21.397390969586958,55.78220378740729,-34.38481281782033,309.82141347097894,286.13245205624594,0.9235399479030781,260.48337758518755,276.95663465703046,1.063241106686186,0.022933333333333368,0.017333333333333256,0.022133333333333356,0.01773333333333327,0.029838276691144357,0.030976582903431426
2019-10-28,New Orleans Pelicans,Golden State Warriors,123 - 134,,2019-2020,08:00,123,134,0.0,0.0,0.20276076865845427,0.23370492062559622,-7.044120332178407,70.74702590698163,-77.79114623916004,-27.11650112742671,51.79211612463775,-78.90861725206446,293.2073428953013,547.7504751867594,1.8681335527887875,254.05198203678472,185.13962352512982,0.7287470148464461,0.013333333333333362,0.01333333333333337,0.013333333333333317,0.013333333333333317,0.03750484962524031,0.02758829643302861
2019-10-28,San Antonio Spurs,Portland Trail Blazers,113 - 110,,2019-2020,08:30,113,110,1.0,0.6666666666666666,0.6594921026068211,0.6244991616018699,-1.7202298850574647,72.45447964999953,-74.17470953505699,-5.498374305670122,65.61680966122981,-71.11518396689993,304.8413289768322,190.277906281993,0.6241867102490359,295.63622687209045,628.3568013430872,2.125439118173265,0.053900000000000094,0.028936000000000184,0.044633007926574805,0.03037444817289229,0.028671651981218307,0.035584517902625575
2019-10-28,Phoenix Suns,Utah Jazz,95 - 96,,2019-2020,10:00,95,96,0.6666666666666666,0.6666666666666666,0.634581843074337,0.5435071737155817,5.1492745971511935,66.74229470490194,-61.593020107750746,-1.2713985590936494,51.11200127312682,-52.38339983222047,323.1999271127035,562.5576218141853,1.7405870936908194,321.9619478013551,354.16602833969796,1.1000244928267493,0.03782745600000014,0.021200000000000014,0.03706426580379784,0.02013295962676349,0.03702633706536565,0.032170683282516536
2019-10-28,Sacramento Kings,Denver Nuggets,94 - 101,,2019-2020,10:00,94,101,0.0,1.0,0.2605176356783577,0.8147702511690517,-24.206832755870856,34.30279869770962,-58.509631453580475,4.325450145740536,41.64589796267467,-37.32044781693413,252.92212210070983,185.55339813442282,0.7336384678147616,333.115744254318,116.37331492821991,0.3493479877053618,0.01333333333333344,0.133478517333334,0.013333333333333338,0.13449140429836898,0.03265046036089044,0.02751781165066115
2019-10-28,Los Angeles Clippers,Charlotte Hornets,111 - 96,,2019-2020,10:30,111,96,0.6666666666666666,0.3333333333333333,0.5976213285242744,0.4579708923673402,-0.6707935984160944,64.27224301636353,-64.94303661477963,-19.19327063740857,58.57085493722691,-77.76412557463549,317.5517716680931,405.9126384880202,1.2782565701201074,266.99966524974735,333.10002564121606,1.247567203238399,0.03637909333333335,0.018965333333333282,0.034105544727769374,0.013728426666666686,0.038086479812491754,0.03333837613650582
2019-10-29,Miami Heat,Atlanta Hawks,112 - 97,,2019-2020,07:30,112,97,0.6666666666666666,0.6666666666666666,0.6511799507969525,0.647270892803568,5.868102268456536,62.83975121254615,-56.971648944089615,10.222051138380738,59.09508597959497,-48.87303484121423,393.67974197971375,363.16352620450704,0.9224846683201209,407.14142348610477,332.111433689749,0.8157151656200454,0.03653236151478686,0.02437333333333311,0.038749912427704626,0.02414644370122604,0.033499128616390865,0.03254209204899577
2019-10-29,Denver Nuggets,Dallas Mavericks,106 - 109,,2019-2020,09:00,106,109,1.0,0.6666666666666666,0.7699267430769987,0.5262209624199683,3.455950848291805,47.81421584558344,-44.358264997291634,2.0955810935925276,57.69887673160517,-55.60329563801264,390.6955030473718,248.88588520857192,0.6370328894683861,387.5318860183359,239.36173619014824,0.6176568814748393,0.08970365977861364,0.02040933333333338,0.09750278421034951,0.0248214990182721,0.02876558903490834,0.031082633810358428
