Date,Home Team,Away Team,Result,Overtime,Season
21/11/2015 07:00,Indiana Pacers,Milwaukee Bucks,123 - 86,,2015-2016
21/11/2015 07:30,Cleveland Cavaliers,Atlanta Hawks,109 - 97,,2015-2016
21/11/2015 07:30,Detroit Pistons,Washington Wizards,95 - 97,,2015-2016
21/11/2015 08:00,Houston Rockets,New York Knicks,102 - 107,,2015-2016
21/11/2015 08:00,Miami Heat,Philadelphia 76ers,96 - 91,,2015-2016
21/11/2015 08:30,San Antonio Spurs,Memphis Grizzlies,92 - 82,,2015-2016
22/11/2015 03:30,Los Angeles Clippers,Toronto Raptors,80 - 91,,2015-2016
22/11/2015 06:00,Brooklyn Nets,Boston Celtics,111 - 101,,2015-2016
22/11/2015 06:00,New Orleans Pelicans,Phoenix Suns,122 - 116,,2015-2016
22/11/2015 07:00,Oklahoma City Thunder,Dallas Mavericks,117 - 114,,2015-2016
22/11/2015 08:00,Denver Nuggets,Golden State Warriors,105 - 118,,2015-2016
22/11/2015 09:30,Los Angeles Lakers,Portland Trail Blazers,93 - 107,,2015-2016
23/11/2015 07:00,Charlotte Hornets,Sacramento Kings,127 - 122,OT,2015-2016
23/11/2015 07:00,Cleveland Cavaliers,Orlando Magic,117 - 103,,2015-2016
23/11/2015 07:30,Miami Heat,New York Knicks,95 - 78,,2015-2016
23/11/2015 08:00,Milwaukee Bucks,Detroit Pistons,109 - 88,,2015-2016
23/11/2015 08:00,Minnesota Timberwolves,Philadelphia 76ers,100 - 95,,2015-2016
23/11/2015 08:30,San Antonio Spurs,Phoenix Suns,98 - 84,,2015-2016
23/11/2015 09:00,Utah Jazz,Oklahoma City Thunder,89 - 111,,2015-2016
24/11/2015 07:00,Washington Wizards,Indiana Pacers,106 - 123,,2015-2016
24/11/2015 08:00,Atlanta Hawks,Boston Celtics,121 - 97,,2015-2016
24/11/2015 08:00,Memphis Grizzlies,Dallas Mavericks,110 - 96,,2015-2016
24/11/2015 09:00,Denver Nuggets,Los Angeles Clippers,94 - 111,,2015-2016
24/11/2015 10:00,Portland Trail Blazers,Chicago Bulls,88 - 93,,2015-2016
24/11/2015 10:30,Golden State Warriors,Los Angeles Lakers,111 - 77,,2015-2016
25/11/2015 07:00,Charlotte Hornets,Washington Wizards,101 - 87,,2015-2016
25/11/2015 07:00,Orlando Magic,New York Knicks,100 - 91,,2015-2016
25/11/2015 07:30,Boston Celtics,Philadelphia 76ers,84 - 80,,2015-2016
25/11/2015 07:30,Detroit Pistons,Miami Heat,104 - 81,,2015-2016
25/11/2015 07:30,Toronto Raptors,Cleveland Cavaliers,103 - 99,,2015-2016
25/11/2015 08:00,Houston Rockets,Memphis Grizzlies,93 - 102,,2015-2016
25/11/2015 08:00,Milwaukee Bucks,Sacramento Kings,118 - 129,,2015-2016
25/11/2015 08:00,Minnesota Timberwolves,Atlanta Hawks,99 - 95,,2015-2016
25/11/2015 08:00,Oklahoma City Thunder,Brooklyn Nets,110 - 99,,2015-2016
25/11/2015 08:30,San Antonio Spurs,Dallas Mavericks,88 - 83,,2015-2016
25/11/2015 09:00,Phoenix Suns,New Orleans Pelicans,114 - 120,,2015-2016
25/11/2015 10:30,Los Angeles Clippers,Utah Jazz,91 - 102,,2015-2016
27/11/2015 07:00,Charlotte Hornets,Cleveland Cavaliers,90 - 95,,2015-2016
27/11/2015 07:00,Orlando Magic,Milwaukee Bucks,114 - 90,,2015-2016
27/11/2015 07:30,Boston Celtics,Washington Wizards,111 - 78,,2015-2016
27/11/2015 07:30,New York Knicks,Miami Heat,78 - 97,,2015-2016
27/11/2015 08:00,Houston Rockets,Philadelphia 76ers,116 - 114,,2015-2016
27/11/2015 08:00,Indiana Pacers,Chicago Bulls,104 - 92,,2015-2016
27/11/2015 08:00,Memphis Grizzlies,Atlanta Hawks,101 - 116,,2015-2016
27/11/2015 08:00,Oklahoma City Thunder,Detroit Pistons,103 - 87,,2015-2016
27/11/2015 09:00,Denver Nuggets,San Antonio Spurs,80 - 91,,2015-2016
27/11/2015 09:30,Phoenix Suns,Golden State Warriors,116 - 135,,2015-2016
27/11/2015 10:00,Sacramento Kings,Minnesota Timberwolves,91 - 101,,2015-2016
27/11/2015 10:30,Los Angeles Clippers,New Orleans Pelicans,111 - 90,,2015-2016
28/11/2015 07:00,Washington Wizards,Toronto Raptors,82 - 84,,2015-2016
28/11/2015 07:30,Cleveland Cavaliers,Brooklyn Nets,90 - 88,,2015-2016
28/11/2015 08:30,Dallas Mavericks,Denver Nuggets,92 - 81,,2015-2016
28/11/2015 08:30,San Antonio Spurs,Atlanta Hawks,108 - 88,,2015-2016
28/11/2015 09:00,Utah Jazz,New Orleans Pelicans,101 - 87,,2015-2016
28/11/2015 10:00,Portland Trail Blazers,Los Angeles Lakers,108 - 96,,2015-2016
28/11/2015 10:30,Golden State Warriors,Sacramento Kings,120 - 101,,2015-2016
29/11/2015 02:00,Charlotte Hornets,Milwaukee Bucks,87 - 82,,2015-2016
29/11/2015 03:30,Los Angeles Clippers,Minnesota Timberwolves,107 - 99,,2015-2016
29/11/2015 06:00,Brooklyn Nets,Detroit Pistons,87 - 83,,2015-2016
29/11/2015 06:00,Memphis Grizzlies,Philadelphia 76ers,92 - 84,,2015-2016
29/11/2015 06:00,Orlando Magic,Boston Celtics,110 - 91,,2015-2016
29/11/2015 06:00,Toronto Raptors,Phoenix Suns,102 - 107,,2015-2016
29/11/2015 07:30,New York Knicks,Houston Rockets,111 - 116,OT,2015-2016
29/11/2015 09:30,Los Angeles Lakers,Indiana Pacers,103 - 107,,2015-2016
30/11/2015 07:30,Detroit Pistons,Houston Rockets,116 - 105,,2015-2016
30/11/2015 07:30,Miami Heat,Boston Celtics,95 - 105,,2015-2016
30/11/2015 08:00,Atlanta Hawks,Oklahoma City Thunder,106 - 100,,2015-2016
30/11/2015 08:00,Chicago Bulls,San Antonio Spurs,92 - 89,,2015-2016
30/11/2015 08:00,Milwaukee Bucks,Denver Nuggets,92 - 74,,2015-2016
30/11/2015 09:00,Utah Jazz,Golden State Warriors,103 - 106,,2015-2016
30/11/2015 10:00,Sacramento Kings,Dallas Mavericks,112 - 98,,2015-2016
30/11/2015 10:30,Los Angeles Clippers,Portland Trail Blazers,102 - 87,,2015-2016
01/12/2015 07:00,Cleveland Cavaliers,Washington Wizards,85 - 97,,2015-2016
01/12/2015 07:00,Philadelphia 76ers,Los Angeles Lakers,103 - 91,,2015-2016
01/12/2015 07:30,Brooklyn Nets,Phoenix Suns,94 - 91,,2015-2016
