,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
270,0.5977859778597786,0.7011070110701108,0.7121771217712177,0.6605166051660517,0.6937269372693727,0.6974169741697417,0.6715867158671587,0.6678966789667896,0.6531365313653137,0.6568265682656826,0.5977859778597786,0.6273062730627307,0.6789667896678967
271,0.5955882352941176,0.7022058823529411,0.7095588235294118,0.6580882352941176,0.6948529411764706,0.6985294117647058,0.6691176470588235,0.6691176470588235,0.6507352941176471,0.6580882352941176,0.5955882352941176,0.6286764705882353,0.6801470588235294
272,0.5970695970695971,0.6996336996336996,0.706959706959707,0.6593406593406593,0.6959706959706959,0.6959706959706959,0.6666666666666666,0.6703296703296703,0.652014652014652,0.6556776556776557,0.5934065934065934,0.6263736263736264,0.6813186813186813
273,0.5948905109489051,0.7007299270072993,0.708029197080292,0.6605839416058394,0.6934306569343066,0.6970802919708029,0.6678832116788321,0.6715328467153284,0.6532846715328468,0.6532846715328468,0.5948905109489051,0.6277372262773723,0.6824817518248175
274,0.5963636363636363,0.6981818181818182,0.7090909090909091,0.6581818181818182,0.6945454545454546,0.6981818181818182,0.6690909090909091,0.6727272727272727,0.6545454545454545,0.6545454545454545,0.5963636363636363,0.6254545454545455,0.6836363636363636
275,0.5942028985507246,0.6992753623188406,0.7065217391304348,0.6557971014492754,0.6956521739130435,0.6992753623188406,0.6702898550724637,0.6739130434782609,0.6521739130434783,0.6557971014492754,0.5978260869565217,0.6268115942028986,0.6811594202898551
276,0.592057761732852,0.7003610108303249,0.703971119133574,0.6570397111913358,0.6967509025270758,0.7003610108303249,0.6678700361010831,0.6750902527075813,0.6534296028880866,0.6534296028880866,0.5992779783393501,0.628158844765343,0.6823104693140795
277,0.5935251798561151,0.7014388489208633,0.7050359712230215,0.658273381294964,0.697841726618705,0.7014388489208633,0.6654676258992805,0.6762589928057554,0.6510791366906474,0.6546762589928058,0.6007194244604317,0.6294964028776978,0.6834532374100719
278,0.5949820788530465,0.7025089605734767,0.7060931899641577,0.6594982078853047,0.6953405017921147,0.7025089605734767,0.6666666666666666,0.6774193548387096,0.6487455197132617,0.6523297491039427,0.5985663082437276,0.6272401433691757,0.6845878136200717
279,0.5964285714285714,0.7035714285714286,0.7071428571428572,0.6571428571428571,0.6928571428571428,0.7035714285714286,0.6642857142857143,0.675,0.65,0.65,0.6,0.6285714285714286,0.6821428571428572
280,0.597864768683274,0.7046263345195729,0.708185053380783,0.6548042704626335,0.693950177935943,0.701067615658363,0.6654804270462633,0.6725978647686833,0.6476868327402135,0.6512455516014235,0.6014234875444839,0.6263345195729537,0.6832740213523132
281,0.599290780141844,0.7021276595744681,0.7092198581560284,0.6560283687943262,0.6950354609929078,0.7021276595744681,0.6631205673758865,0.6702127659574468,0.648936170212766,0.6524822695035462,0.6028368794326241,0.624113475177305,0.6843971631205674
282,0.6007067137809188,0.7031802120141343,0.7067137809187279,0.657243816254417,0.696113074204947,0.7031802120141343,0.6643109540636042,0.6713780918727915,0.6501766784452296,0.6537102473498233,0.6007067137809188,0.6219081272084805,0.6855123674911661
283,0.5985915492957746,0.704225352112676,0.704225352112676,0.6584507042253521,0.6971830985915493,0.704225352112676,0.6654929577464789,0.6690140845070423,0.6514084507042254,0.6549295774647887,0.602112676056338,0.6232394366197183,0.6830985915492958
284,0.6,0.7052631578947368,0.7017543859649122,0.6596491228070176,0.6947368421052632,0.7052631578947368,0.6666666666666666,0.6666666666666666,0.6526315789473685,0.6526315789473685,0.6035087719298246,0.624561403508772,0.6807017543859649
285,0.6013986013986014,0.7062937062937062,0.6993006993006993,0.6573426573426573,0.6958041958041958,0.7027972027972028,0.6678321678321678,0.6643356643356644,0.6538461538461539,0.6538461538461539,0.6048951048951049,0.6223776223776224,0.6818181818181818
286,0.6027874564459931,0.7073170731707317,0.7003484320557491,0.6585365853658537,0.6968641114982579,0.7038327526132404,0.6689895470383276,0.6655052264808362,0.6515679442508711,0.6550522648083623,0.6062717770034843,0.6236933797909407,0.6794425087108014
287,0.6006944444444444,0.7083333333333334,0.7013888888888888,0.65625,0.6944444444444444,0.7048611111111112,0.6701388888888888,0.6631944444444444,0.6493055555555556,0.65625,0.6076388888888888,0.6215277777777778,0.6770833333333334
288,0.5986159169550173,0.7058823529411765,0.7024221453287197,0.657439446366782,0.6920415224913494,0.7024221453287197,0.671280276816609,0.6643598615916955,0.6505190311418685,0.657439446366782,0.6055363321799307,0.6228373702422145,0.6782006920415224
289,0.596551724137931,0.7034482758620689,0.7034482758620689,0.6551724137931034,0.6931034482758621,0.7,0.6689655172413793,0.6655172413793103,0.6517241379310345,0.6586206896551724,0.6068965517241379,0.6206896551724138,0.6758620689655173
290,0.5945017182130584,0.7044673539518901,0.7044673539518901,0.6529209621993127,0.6941580756013745,0.697594501718213,0.6666666666666666,0.6666666666666666,0.6494845360824743,0.6563573883161512,0.6082474226804123,0.6219931271477663,0.6769759450171822
291,0.5958904109589042,0.7054794520547946,0.7054794520547946,0.6541095890410958,0.6917808219178082,0.6986301369863014,0.6643835616438356,0.6643835616438356,0.6506849315068494,0.6575342465753424,0.6061643835616438,0.6232876712328768,0.678082191780822
292,0.5972696245733788,0.7064846416382252,0.7064846416382252,0.6552901023890785,0.689419795221843,0.6962457337883959,0.6655290102389079,0.6655290102389079,0.6518771331058021,0.658703071672355,0.6040955631399317,0.621160409556314,0.6757679180887372
293,0.5986394557823129,0.7074829931972789,0.7074829931972789,0.6530612244897959,0.6870748299319728,0.6972789115646258,0.6666666666666666,0.6632653061224489,0.6530612244897959,0.6598639455782312,0.6054421768707483,0.6190476190476191,0.6768707482993197
294,0.5966101694915255,0.7084745762711865,0.7084745762711865,0.6508474576271186,0.688135593220339,0.6983050847457627,0.6644067796610169,0.6644067796610169,0.6542372881355932,0.6576271186440678,0.6067796610169491,0.6203389830508474,0.6745762711864407
295,0.597972972972973,0.7094594594594594,0.7094594594594594,0.652027027027027,0.6891891891891891,0.6959459459459459,0.6621621621621622,0.6655405405405406,0.6554054054054054,0.6587837837837838,0.6047297297297297,0.6182432432432432,0.6756756756756757
296,0.5993265993265994,0.7070707070707071,0.7070707070707071,0.6531986531986532,0.6902356902356902,0.6936026936026936,0.6599326599326599,0.6666666666666666,0.6565656565656566,0.6599326599326599,0.6060606060606061,0.6195286195286195,0.6767676767676768
297,0.6006711409395973,0.7046979865771812,0.7080536912751678,0.6543624161073825,0.6879194630872483,0.6946308724832215,0.6577181208053692,0.6677852348993288,0.6577181208053692,0.6610738255033557,0.6073825503355704,0.6174496644295302,0.674496644295302
298,0.6020066889632107,0.705685618729097,0.7090301003344481,0.6555183946488294,0.6889632107023411,0.6956521739130435,0.6588628762541806,0.6688963210702341,0.6588628762541806,0.6588628762541806,0.6053511705685619,0.6153846153846154,0.6755852842809364
299,0.6033333333333334,0.7066666666666667,0.7066666666666667,0.6566666666666666,0.69,0.6966666666666667,0.66,0.67,0.66,0.66,0.6066666666666667,0.6166666666666667,0.6766666666666666
300,0.6013289036544851,0.707641196013289,0.707641196013289,0.6578073089700996,0.6910299003322259,0.6976744186046512,0.6611295681063123,0.6677740863787376,0.6611295681063123,0.6611295681063123,0.6079734219269103,0.6179401993355482,0.6777408637873754
301,0.5993377483443708,0.7052980132450332,0.7086092715231788,0.6556291390728477,0.6887417218543046,0.6986754966887417,0.6589403973509934,0.6688741721854304,0.6622516556291391,0.6589403973509934,0.609271523178808,0.6158940397350994,0.6754966887417219
302,0.6006600660066007,0.7062706270627063,0.7062706270627063,0.6567656765676567,0.6897689768976898,0.6996699669966997,0.6567656765676567,0.6666666666666666,0.6633663366336634,0.6600660066006601,0.6105610561056105,0.6171617161716172,0.6732673267326733
303,0.5986842105263158,0.7072368421052632,0.7039473684210527,0.6578947368421053,0.6907894736842105,0.7006578947368421,0.6578947368421053,0.6677631578947368,0.6644736842105263,0.6611842105263158,0.6085526315789473,0.618421052631579,0.6710526315789473
304,0.6,0.7081967213114754,0.7049180327868853,0.659016393442623,0.6918032786885245,0.6983606557377049,0.659016393442623,0.6688524590163935,0.6655737704918033,0.6622950819672131,0.6098360655737705,0.6196721311475409,0.6721311475409836
305,0.5980392156862745,0.7058823529411765,0.7058823529411765,0.6601307189542484,0.6928104575163399,0.6993464052287581,0.6601307189542484,0.6699346405228758,0.6633986928104575,0.6601307189542484,0.6111111111111112,0.6209150326797386,0.6699346405228758
