Date,Home Team,Away Team,Result,Overtime,Season
20/11/2005 09:30,Los Angeles Lakers,Chicago Bulls,93 - 96,,2005-2006
21/11/2005 07:00,Philadelphia 76ers,New Orleans/Oklahoma City Hornets,103 - 91,,2005-2006
21/11/2005 09:00,Utah Jazz,Milwaukee Bucks,100 - 80,,2005-2006
21/11/2005 10:00,Sacramento Kings,San Antonio Spurs,93 - 96,,2005-2006
21/11/2005 10:30,Golden State Warriors,New Jersey Nets,100 - 97,,2005-2006
22/11/2005 07:00,Cleveland Cavaliers,Boston Celtics,115 - 93,,2005-2006
22/11/2005 07:00,Washington Wizards,Denver Nuggets,105 - 108,,2005-2006
22/11/2005 08:00,Memphis Grizzlies,Portland Trail Blazers,87 - 95,,2005-2006
22/11/2005 08:30,Dallas Mavericks,Houston Rockets,102 - 93,,2005-2006
22/11/2005 09:00,Phoenix Suns,Toronto Raptors,90 - 82,,2005-2006
22/11/2005 10:00,Seattle SuperSonics,Utah Jazz,87 - 93,,2005-2006
23/11/2005 07:00,Atlanta Hawks,Boston Celtics,120 - 117,,2005-2006
23/11/2005 07:00,Orlando Magic,Washington Wizards,91 - 83,,2005-2006
23/11/2005 07:30,Charlotte Bobcats,New York Knicks,108 - 95,,2005-2006
23/11/2005 07:30,Detroit Pistons,Denver Nuggets,114 - 89,,2005-2006
23/11/2005 07:30,Houston Rockets,Phoenix Suns,88 - 100,,2005-2006
23/11/2005 07:30,Miami Heat,Portland Trail Blazers,100 - 79,,2005-2006
23/11/2005 08:00,Milwaukee Bucks,Philadelphia 76ers,108 - 97,,2005-2006
23/11/2005 08:00,New Orleans/Oklahoma City Hornets,Minnesota Timberwolves,84 - 80,,2005-2006
23/11/2005 10:00,Sacramento Kings,New Jersey Nets,114 - 105,,2005-2006
23/11/2005 10:30,Golden State Warriors,San Antonio Spurs,89 - 113,,2005-2006
23/11/2005 10:30,Los Angeles Clippers,Toronto Raptors,103 - 100,,2005-2006
24/11/2005 08:00,Indiana Pacers,Cleveland Cavaliers,98 - 76,,2005-2006
24/11/2005 10:30,Los Angeles Lakers,Seattle SuperSonics,108 - 96,,2005-2006
25/11/2005 07:00,Orlando Magic,Portland Trail Blazers,104 - 89,,2005-2006
25/11/2005 07:30,Boston Celtics,Charlotte Bobcats,90 - 89,,2005-2006
25/11/2005 08:00,Detroit Pistons,Washington Wizards,114 - 120,2OT,2005-2006
25/11/2005 08:00,Indiana Pacers,Atlanta Hawks,85 - 87,,2005-2006
25/11/2005 08:00,Memphis Grizzlies,Houston Rockets,86 - 81,,2005-2006
25/11/2005 08:00,Miami Heat,Dallas Mavericks,90 - 103,,2005-2006
25/11/2005 08:00,Minnesota Timberwolves,Milwaukee Bucks,99 - 91,,2005-2006
25/11/2005 08:30,San Antonio Spurs,Chicago Bulls,99 - 106,,2005-2006
25/11/2005 09:00,Denver Nuggets,Los Angeles Clippers,105 - 95,,2005-2006
25/11/2005 09:00,Utah Jazz,Golden State Warriors,90 - 94,,2005-2006
25/11/2005 10:00,Sacramento Kings,Toronto Raptors,106 - 104,,2005-2006
25/11/2005 10:30,Phoenix Suns,New Jersey Nets,92 - 81,,2005-2006
26/11/2005 12:30,New York Knicks,Philadelphia 76ers,105 - 102,OT,2005-2006
26/11/2005 03:30,Seattle SuperSonics,New Orleans/Oklahoma City Hornets,99 - 105,,2005-2006
26/11/2005 07:00,Orlando Magic,Miami Heat,80 - 77,,2005-2006
26/11/2005 07:30,Charlotte Bobcats,Washington Wizards,100 - 82,,2005-2006
26/11/2005 07:30,Cleveland Cavaliers,Minnesota Timberwolves,85 - 89,,2005-2006
26/11/2005 08:30,Dallas Mavericks,Memphis Grizzlies,92 - 112,,2005-2006
26/11/2005 08:30,Houston Rockets,Chicago Bulls,89 - 94,,2005-2006
26/11/2005 09:00,Milwaukee Bucks,Detroit Pistons,76 - 85,,2005-2006
26/11/2005 10:30,Golden State Warriors,Toronto Raptors,117 - 91,,2005-2006
27/11/2005 02:00,Atlanta Hawks,Portland Trail Blazers,75 - 77,,2005-2006
27/11/2005 03:30,Los Angeles Clippers,Indiana Pacers,92 - 97,,2005-2006
27/11/2005 09:30,Los Angeles Lakers,New Jersey Nets,96 - 102,OT,2005-2006
28/11/2005 07:00,Toronto Raptors,Dallas Mavericks,91 - 93,,2005-2006
28/11/2005 07:30,Boston Celtics,Orlando Magic,83 - 87,,2005-2006
28/11/2005 07:30,Miami Heat,New York Knicks,107 - 94,,2005-2006
28/11/2005 09:00,Denver Nuggets,New Jersey Nets,92 - 101,,2005-2006
28/11/2005 10:30,Golden State Warriors,New Orleans/Oklahoma City Hornets,99 - 83,,2005-2006
29/11/2005 07:00,Philadelphia 76ers,Portland Trail Blazers,107 - 83,,2005-2006
29/11/2005 08:00,Milwaukee Bucks,Dallas Mavericks,113 - 111,OT,2005-2006
29/11/2005 08:00,Minnesota Timberwolves,Los Angeles Clippers,84 - 93,,2005-2006
